date,url,lang,polarity,magnitude,score,name,type,mid,wikipediaUrl,numMentions,avgSalience,coordinates,row_number
4/8/2020 13:02:33,https://www.hildesheimer-allgemeine.de/meldung/kreis-aus-der-quarantaene-entlassene-sind-nicht-ansteckend.html,de,0,3.2,-0.5,Hildesheim,LOCATION,/m/013_dx,https://en.wikipedia.org/wiki/Hildesheim_(district),2,0.043208,"52.15077,9.95112",1
4/8/2020 3:46:45,https://www.mainpost.de/regional/bad-kissingen/schulbus-bei-bad-bocklet-in-unfall-verwickelt-mehrere-kinder-werden-verletzt,de,0,7.6,-0.5,Bad Kissingen,LOCATION,/m/01chlh,https://en.wikipedia.org/wiki/Bad_Kissingen_(district),2,0.008195,"50.20228,10.07784",1
4/8/2020 15:34:36,https://www.gmx.ch/magazine/unterhaltung/stars/boris-beckers-leben-verfilmt-wissen-34590840,de,0,7.5,-0.3,Wimbledon,LOCATION,/m/0mmmt,"https://en.wikipedia.org/wiki/The_Championships,_Wimbledon",2,0.002775,"51.42212,-0.20805",1
4/8/2020 13:19:25,https://www.mopo.de/im-norden/niedersachsen/schrecklicher-angriff-15-jaehriger-auf-fahrrad-erstochen---passanten-halten-taeter-fest-36531192,de,0,4.5,-0.3,Celle,LOCATION,/m/013b2w,https://en.wikipedia.org/wiki/Celle,3,0.058782,"52.62264,10.08047",1
4/8/2020 14:02:42,https://www.op-marburg.de/Mehr/Welt/Politik/Afghanistan-Freilassung-inhaftierter-Taliban-hat-begonnen,de,0,8.1,-0.3,Kabul,LOCATION,/m/0494n,https://en.wikipedia.org/wiki/Kabul,3,0.008168,"34.52813,69.17233",1
4/8/2020 18:33:45,https://www.badische-zeitung.de/mit-corona-bahnt-sich-das-tabu-tod-den-weg-in-die-oeffentlichkeit,de,0,4.8,-0.3,Bergamo,LOCATION,/m/01jp4s,https://en.wikipedia.org/wiki/Bergamo,3,0.031986,"45.69601,9.66721",1
4/8/2020 19:46:48,https://www.badische-zeitung.de/kultur-sonstige/mit-corona-bahnt-sich-das-tabu-tod-den-weg-in-die-oeffentlichkeit,de,0,4.8,-0.3,Bergamo,LOCATION,/m/01jp4s,https://en.wikipedia.org/wiki/Bergamo,3,0.031986,"45.69601,9.66721",1
4/8/2020 17:34:55,https://www.boyens-medien.de/artikel/hamburg/lieferung-von-schutzmaterial-an-5200-aerzte-und-therapeuten-331820.html,de,0,3.5,-0.3,Hamburg,LOCATION,/m/03hrz,https://en.wikipedia.org/wiki/Hamburg,3,0.046079,"53.55073,9.99302",1
4/8/2020 16:02:32,https://www.n-tv.de/regionales/hamburg-und-schleswig-holstein/Lieferung-von-Schutzmaterial-an-5200-Arzte-und-Therapeuten-article21703176.html,de,0,3.5,-0.3,Hamburg,LOCATION,/m/03hrz,https://en.wikipedia.org/wiki/Hamburg,3,0.046079,"42.71589,-78.82948",1
4/8/2020 6:01:46,https://www.n-tv.de/regionales/sachsen/Altere-Autofahrerin-schwer-verletzt-nach-Unfall-article21700731.html,de,0,1.7,-0.3,Leipzig,LOCATION,/m/04kf4,https://en.wikipedia.org/wiki/Leipzig,3,0.111991,"51.33962,12.37129",1
